index,nome,url,especialidade,nota,opinioes,cidade,registro,imagem_url
0,Carla Santarem,https://www.doctoralia.com.br/carla-santarem/psicologo/florianopolis,Psicóloga,5.0,20,Catarina,CRP RS 31735,https://pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/92ef39a4/92ef39a4-d7bb-4bae-bb80-775844513f4c_medium_square.jpg
2,Renata Almeida,https://www.doctoralia.com.br/renata-almeida-4/psicologo/itajai,Psicóloga,5.0,3,Catarina,CRP SC 17264,https://pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/469e1045/469e1045-074b-4b7d-afbb-25a8cf118f18_medium_square.jpg
3,Dra. Rozi Oesterreich,https://www.doctoralia.com.br/rozi-oesterreich/psicanalista/florianopolis,Psicanalista,5.0,18,Catarina,,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/9dfc75/9dfc75b810c3539922dac9c067bade36_medium_square.jpg
4,Luca de Lima Conceição,https://www.doctoralia.com.br/luca-de-lima-conceicao/psicologo-psicanalista/itajai,Psicólogo,5.0,21,Catarina,CRP 12/23151,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/863ebd/863ebd417522b12b2c55fa305f6697b9_medium_square.jpg
5,Dr. Rodrigo Melim Ferreira,https://www.doctoralia.com.br/rodrigo-melim-ferreira-2/dentista/florianopolis,Dentista,5.0,24,Catarina,9599,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/4f6fba/4f6fbae16d0824994f46e305365a985e_medium_square.jpg
6,Dr. Yuri Amado,https://www.doctoralia.com.br/yuri-amado/psicanalista-medico-clinico-geral/florianopolis,Psicanalista,5.0,3,Catarina,CRP 12/06906,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/330d87/330d87703c4beca902278fcce5bbf5af_medium_square.jpg
7,Dra. Luma Paglioni,https://www.doctoralia.com.br/luma-paglioni/psicologo/belo-horizonte,Psicóloga,5.0,38,Catarina,CRP MG 04/73311,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/1e50bf/1e50bf82e7c757ab4e65c3eb509d397d_medium_square.jpg
8,Camila Façanha,https://www.doctoralia.com.br/camila-facanha/psicologo/florianopolis,Psicóloga,5.0,1,Catarina,CRP SC 28093,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/4babb1c0/4babb1c0-ba59-4256-959d-2e1dff3ef3de_medium_square.jpg
9,Diana Camargo,https://www.doctoralia.com.br/diana-camargo/psicologo/florianopolis,Psicóloga,5.0,15,Catarina,CRP 12 25292,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/f779faa2/f779faa2-86ff-496e-aef0-1e857803e9c7_medium_square.jpg
10,Sarah Gelmini,https://www.doctoralia.com.br/sarah-gelmini/psicologo-terapeuta-complementar/balneario-camboriu,Psicóloga,5.0,12,Catarina,CRP 04/55285,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/1cead7/1cead7e7211727ce2435a63d8a22652c_medium_square.jpg
11,Lia Almeida,https://www.doctoralia.com.br/lia-almeida/psicologo/balneario-camboriu,Psicóloga,5.0,10,Catarina,CRP 12/27035,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/2057a5/2057a577b37ecb4873e0c2b1b37564dc_medium_square.jpg
13,Larissa Jansson,https://www.doctoralia.com.br/larissa-jansson/psicologo/itajai,Psicóloga,5.0,26,Catarina,CRP 12 21074,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/156819/156819526b8f6582ee8cbea1b2eba1e6_medium_square.jpg
15,Juliano Matos,https://www.doctoralia.com.br/juliano-matos/psicologo/joinville,Psicólogo,5.0,49,Catarina,CRP 12/13792,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/fc6ae6/fc6ae6a4353ac4c8211d26a9c32c9f67_medium_square.jpg
17,Dra. Daniela Leal,https://www.doctoralia.com.br/daniela-leal-2/dentista/florianopolis,Dentista,5.0,83,Catarina,CRO SC 20249,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/565993/5659936cd901380cc23d1aea7d269fc1_medium_square.jpg
19,Eduardo Dias,https://www.doctoralia.com.br/eduardo-dias-2/psicologo/balneario-camboriu,Psicólogo,0.0,0,Catarina,CRP - 22709 SC,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/39834bd6/39834bd6-4b91-4437-8c09-9178a8388930_medium_square.jpg
20,Dra. Maria Inês Mesquita,https://www.doctoralia.com.br/maria-ines-mesquita/psiquiatra/florianopolis,Psiquiatra,5.0,105,Catarina,19697-SC,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/464d6f/464d6fd1e6ed437f7e79eca39bd6f647_medium_square.jpg
22,Dra. Rosiani Duarte,https://www.doctoralia.com.br/rosiani-duarte/psicologo/joinville,Psicóloga,5.0,14,Catarina,CRP 12/15163,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/bd3468/bd3468ae8d52497d676caf5b378bced3_medium_square.jpg
23,Dra. Débora P. de Carli,https://www.doctoralia.com.br/debora-p-de-carli/psicologo-psicanalista/fortaleza,Psicóloga,5.0,380,Catarina,CRP 06/124219,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/609499f3/609499f3-df0e-438e-b1a7-634164f6de3f_medium_square.jpg
24,Nelson Alberto Martínez,https://www.doctoralia.com.br/nelson-alberto-martinez/psicologo/curitiba,Psicólogo,5.0,109,Catarina,CRP 12/25608,https://pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/9a65cbf4/9a65cbf4-a7ef-4507-8af0-633b07a560dd_medium_square.jpg
25,Lucelia Jacques de Moraes,https://www.doctoralia.com.br/lucelia-jacques-de-moraes/psicologo/joinville,Psicólogo,5.0,6,Catarina,CRP 12/22121,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/386400/386400d340ac7135c9498ee6d939f3ae_medium_square.jpg
33,Dra. Anita Nogiri Makowiecky,https://www.doctoralia.com.br/anita-nogiri-makowiecky/dentista/florianopolis,Dentista,5.0,204,Catarina,10010 SC,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/173ce7/173ce79760725fcb38f8c30c2e392739_medium_square.jpg
34,Dr. Hugo Iglesias Moraes,https://www.doctoralia.com.br/hugo-iglesias-moraes/psicologo-psicanalista/sao-paulo,Psicólogo,5.0,205,Catarina,CRP 11/14398,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/73938b/73938b2f98e8ccf0ea8d140de382ef33_medium_square.jpg
35,Rosiane Camelo,https://www.doctoralia.com.br/rosiane-camelo/psicologo-psicanalista/goiania,Psicóloga,5.0,223,Catarina,CRP 06/134343,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/8a4d84/8a4d84712fef9549381ee1346052819e_medium_square.jpg
36,Germaniely Lima,https://www.doctoralia.com.br/germaniely-lima/psicologo-psicanalista/brasilia,Psicóloga,5.0,48,Catarina,CRP 11/12934,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/de0858/de0858d3bd601113d22f71c78cdcde37_medium_square.jpg
38,Dra. Clarissa Merian,https://www.doctoralia.com.br/clarissa-merian/psicologo-psicanalista/turvo2,Psicóloga,5.0,110,Catarina,CRP RJ 05/71664,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/3f4a71/3f4a712175dad3b0fd4b466d86295117_medium_square.jpg
39,Carolina Domingues Torralbo,https://www.doctoralia.com.br/carolina-domingues-torralbo/psicologo/florianopolis,Psicóloga,5.0,10,Catarina,CRP SC 27758,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/688d324e/688d324e-d008-49eb-83f5-f1f43da6b103_medium_square.jpg
40,Prícila Mendonça,https://www.doctoralia.com.br/pricila-mendonca/psicologo-terapeuta-complementar/florianopolis,Psicóloga,5.0,55,Catarina,5/50890,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/43f309/43f309c734dee6307262314f790013b3_medium_square.jpg
41,Mariane Comelli dos Santos,https://www.doctoralia.com.br/mariane-comelli-dos-santos/psicologo/florianopolis,Psicóloga,5.0,3,Catarina,CRP SC 12450,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/a45ee150/a45ee150-c5ff-4a70-b9fe-c6e200fd0b28_medium_square.jpg
42,Bruno Biscaia de Oliveira,https://www.doctoralia.com.br/bruno-biscaia-de-oliveira/psicologo/florianopolis,Psicólogo,5.0,2,Catarina,CRP SC 26590,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/3c55c3/3c55c396087f92529c0ad90acd927a85_medium_square.jpg
43,Larissa Aguiar,https://www.doctoralia.com.br/larissa-aguiar-3/psicologo/florianopolis,Psicóloga,5.0,4,Catarina,CRP SC 12/24996,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/ca7e70a4/ca7e70a4-9e30-474a-b118-f10aa7e751ed_medium_square.jpg
44,Gabriela Venzke Mielke,https://www.doctoralia.com.br/gabriela-venzke-mielke/psicologo/florianopolis,Psicóloga,5.0,2,Catarina,CRP SC 24565,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/d12be6/d12be686ff37090012795dba317c56e2_medium_square.jpg
46,Diênifer Tibolla da Rosa,https://www.doctoralia.com.br/dienifer-tibolla-da-rosa/psicologo/florianopolis,Psicóloga,5.0,7,Catarina,CRP SC 15038,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/661ed5/661ed52d6a743bce327f44024226fdca_medium_square.jpg
47,Mariana dos Anjos,https://www.doctoralia.com.br/mariana-dos-anjos/psicologo/florianopolis,Psicóloga,5.0,2,Catarina,CRP SC 28042,https://pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/9beec7fc/9beec7fc-3231-4fef-a997-713f90d548f4_medium_square.jpg
48,Maria Eduarda Dias Costa,https://www.doctoralia.com.br/maria-eduarda-dias-costa/psicologo/florianopolis,Psicóloga,5.0,1,Catarina,CRP SC 24373,https://pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/f5c944df/f5c944df-e2f2-466c-9b78-26dccc168fdc_medium_square.jpg
49,Gabrielly Carvalho,https://www.doctoralia.com.br/gabrielly-carvalho/psicologo/florianopolis,Psicóloga,5.0,1,Catarina,CRP SC 25902,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/ce6aea/ce6aeaafafed841205480e6d44e89d5b_medium_square.jpg
50,Carla Gisiane Rodrigues,https://www.doctoralia.com.br/carla-gisiane-rodrigues-2/psicologo/florianopolis,Psicóloga,5.0,4,Catarina,12/26392,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/bc34c8/bc34c8022b5e51f1a270680623548766_medium_square.jpg
52,Guilherme de Oliveira Cimardi,https://www.doctoralia.com.br/guilherme-de-oliveira-cimardi/psicanalista/rio-do-sul,Psicanalista,5.0,10,Catarina,Perfil Verificado,//pixel-p1.s3.sa-east-1.amazonaws.com/doctor/avatar/49b56df6/49b56df6-e559-47bb-b59a-1ed5e1a17bc6_medium_square.jpg
53,Dra. Ariana Christófaro Fernandes,https://www.doctoralia.com.br/ariana-christofaro-fernandes/psicologo/florianopolis,Psicóloga,5.0,345,Catarina,CRP 06/123302,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/de1cbb/de1cbb529bc2b3660b72a44c2bf387f9_medium_square.jpg
54,Alexandre Moisés,https://www.doctoralia.com.br/alexandre-moises/psicologo/jundiai,Psicólogo,5.0,37,Catarina,06/107267,https://s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/4d171b/4d171b7d72e0e49f5a450c82117dd4ec_medium_square.jpg
56,Carlos Mozarth Machado,https://www.doctoralia.com.br/carlos-mozarth-machado/psicologo/blumenau,Psicólogo,5.0,93,Catarina,CRP SC 12/07327,//s3-sa-east-1.amazonaws.com/doctoralia.com.br/doctor/b98f8a/b98f8af87eb8c877f0387ba1f6aa6630_medium_square.jpg
